index,1,73,74,39,4,33,34,35,22,19,80,81,97
203,Madhya Pradesh,60.6,93.3,92.9,57.7,33.0,27.7,13.1,91.4,88.7,68.9,91.7,67.3
204,Uttar Pradesh,36.6,80.4,76.1,40.2,40.9,39.3,25.2,73.6,55.0,73.2,96.8,69.2
205,Uttar Pradesh,60.9,61.8,57.2,50.9,37.2,36.3,24.8,87.9,70.1,42.8,99.9,48.3
206,Uttar Pradesh,52.7,85.4,84.0,57.8,25.5,21.9,12.0,87.6,69.7,74.0,99.9,79.9
207,Jharkhand,47.6,75.8,78.0,61.2,34.6,31.7,18.0,85.0,76.1,54.0,83.9,63.6
208,Sikkim,84.5,83.1,81.1,54.6,24.8,7.2,8.0,86.4,89.5,91.7,93.3,90.5
209,Assam,45.5,63.5,67.4,55.5,36.7,21.9,13.1,80.4,76.5,72.2,82.9,76.9
210,Karnataka,85.7,93.5,88.6,41.7,27.5,28.2,15.6,100.0,100.0,86.4,95.4,78.9
211,Uttar Pradesh,47.0,70.5,69.4,45.4,33.4,28.3,10.7,89.3,81.3,65.1,99.5,71.9
212,West Bengal,78.4,67.5,81.7,78.6,37.0,41.8,25.5,98.4,84.8,55.0,99.4,70.8
213,Odisha,73.1,79.7,82.0,79.8,32.9,34.7,21.1,88.8,82.0,65.5,91.5,70.8
214,Odisha,90.3,96.2,96.1,61.2,20.0,20.2,10.5,98.2,96.1,67.1,82.9,80.4
215,Uttarakhand,76.5,83.6,82.2,43.1,25.2,10.9,8.0,95.5,91.4,86.8,93.9,86.1
216,Chhattisgarh,70.0,78.2,71.5,48.3,32.1,31.8,18.1,92.5,90.4,73.3,87.6,74.8
217,Telangana,66.4,84.7,89.0,59.5,32.9,35.1,25.0,89.7,81.4,68.0,99.4,63.6
218,Telangana,69.6,89.5,95.9,73.2,30.3,27.5,13.9,94.0,82.1,78.8,98.3,70.3
219,Chhattisgarh,55.1,69.2,64.6,80.3,48.1,45.2,20.4,81.4,61.8,61.0,94.1,52.9
220,Chhattisgarh,67.3,74.4,66.6,53.7,30.1,30.6,17.7,89.2,83.9,80.7,98.0,66.5
221,Bihar,31.6,74.1,80.5,73.7,49.4,37.3,18.2,87.5,79.0,47.9,99.3,62.1
222,Jharkhand,37.7,79.2,82.1,59.4,40.7,43.4,26.6,95.2,92.9,67.7,78.4,65.2
223,Chhattisgarh,57.8,86.3,82.3,63.2,28.9,22.1,21.9,94.2,85.4,81.0,96.8,68.9
224,Karnataka,56.4,74.4,74.8,52.6,45.9,39.0,15.0,81.8,81.4,44.8,92.5,66.6
225,West Bengal,63.1,79.7,80.9,84.5,31.1,40.0,30.3,89.3,80.1,58.3,95.5,70.9
226,Gujarat,91.0,90.0,89.9,72.8,41.7,51.8,36.6,100.0,100.0,70.2,99.0,72.0
227,Uttar Pradesh,54.4,67.9,62.6,55.6,44.1,32.8,12.5,73.5,63.9,70.6,99.4,70.8
228,Rajasthan,53.6,89.7,93.1,61.6,37.7,33.5,20.7,96.1,95.0,59.4,99.4,60.3
229,Uttarakhand,39.6,64.0,70.7,44.3,30.0,18.8,12.0,90.2,81.7,83.3,83.5,84.0
